Date,Traffic,CO (mg/m³),Traffic_interpolated,CO (mg/m³)_interpolated
2015-11-30,55895.2666666667,0.58,55895.2666666667,0.58
2015-12-31,52956.5161290323,0.44,52956.5161290323,0.44
2016-01-31,48223.4193548387,0.43,48223.4193548387,0.43
2016-02-29,52516.3793103448,0.47,52516.3793103448,0.47
2016-03-31,56078.9032258065,0.35,56078.9032258065,0.35
2016-04-30,,0.24,61147.82249290317,0.24
2016-05-31,60354.6,0.24,60354.6,0.24
2016-06-30,62030.8709677419,0.23,62030.8709677419,0.23
2016-07-31,62471.2,0.17,62471.2,0.17
2016-08-31,70279.1290322581,0.22,70279.1290322581,0.22
2016-09-30,65375.2580645161,0.28,65375.2580645161,0.28
2016-10-31,66296.7666666667,0.38,66296.7666666667,0.38
2016-11-30,61773.2258064516,0.4,61773.2258064516,0.4
2016-12-31,55246.8,0.35,55246.8,0.35
2017-01-31,53083.4516129032,1.12,53083.4516129032,1.12
2017-02-28,52692.5714285714,0.4,52692.5714285714,0.4
2017-03-31,56071.3548387097,0.32,56071.3548387097,0.32
2017-04-30,,0.25,61748.50763089138,0.25
2017-05-31,61588.5333333333,0.21,61588.5333333333,0.21
2017-06-30,60112.7096774194,0.15,60112.7096774194,0.15
2017-07-31,62964.3666666667,0.18,62964.3666666667,0.18
2017-08-31,71174.4193548387,0.25,71174.4193548387,0.25
2017-09-30,65956.6451612903,0.29,65956.6451612903,0.29
2017-10-31,67440.9333333333,0.35,67440.9333333333,0.35
2017-11-30,63532.7096774194,0.34,63532.7096774194,0.34
2017-12-31,55832.6333333333,0.45,55832.6333333333,0.45
2018-01-31,50284.1935483871,0.95,50284.1935483871,0.95
2018-02-28,52420.5714285714,0.38,52420.5714285714,0.38
2018-03-31,55277.1290322581,0.23,55277.1290322581,0.23
2018-04-30,59632.3666666667,0.19,59632.3666666667,0.19
2018-05-31,61658.5161290323,0.19,61658.5161290323,0.19
2018-06-30,62897.0,0.21,62897.0,0.21
2018-07-31,70425.5806451613,0.25,70425.5806451613,0.25
2018-08-31,65415.3225806452,0.23,65415.3225806452,0.23
2018-09-30,66155.6,0.22,66155.6,0.22
2018-10-31,62247.0322580645,0.3,62247.0322580645,0.3
2018-11-30,55487.3333333333,0.52,55487.3333333333,0.52
2018-12-31,52340.064516129,0.43,52340.064516129,0.43
2019-01-31,51010.0322580645,0.36,51010.0322580645,0.36
2019-02-28,52325.2857142857,0.45,52325.2857142857,0.45
2019-03-31,54747.3870967742,0.28,54747.3870967742,0.28
2019-04-30,61830.9,0.19,61830.9,0.19
2019-05-31,59931.9032258065,0.2,59931.9032258065,0.2
2019-06-30,64682.6666666667,0.23,64682.6666666667,0.23
2019-07-31,,0.22,70203.49697733653,0.22
2019-08-31,,0.25,65679.24765124335,0.25
2019-09-30,,0.26,67073.5695772099,0.26
2019-10-31,,0.28,63145.311550457016,0.28
2019-11-30,,0.36,56312.28537084254,0.36
2019-12-31,,0.4,53821.228394310485,0.4
2020-01-31,,,50098.642829524135,0.40546084658264203
2020-02-29,,,51244.78115800621,0.4513664100420032
2020-03-31,,,55973.05684699851,0.13829452319937216
2020-04-30,,,61029.056125906456,0.22144246631061928
2020-05-31,,,61580.235530973674,0.17009082904807335
2020-06-30,,,61827.91590979001,0.17003041131155336
2020-07-31,,,66569.02897113837,0.21033525717978419
2020-08-31,,,67970.1557517981,0.20724204823312337
2020-09-30,,,64897.96980706142,0.24885054518408922
2020-10-31,,,63585.23372296134,0.36051114582838517
2020-11-30,,,57470.3517584002,0.29193394673198936
2020-12-31,,,51896.173846797166,0.2740732067312686
2021-01-31,,,50240.7065258169,0.7527404838007401
2021-02-28,,,51475.86981417784,0.42987039064482574
2021-03-31,,,55245.02048060175,0.196302665218572
2021-04-30,,,60494.60812642274,0.2129285472262671
2021-05-31,,,60614.48146529178,0.16776159805149957
2021-06-30,,,61578.90640005381,0.15498028998633362
2021-07-31,,,67288.71994541363,0.18143770904639772
2021-08-31,,,66713.78839822845,0.18633297432406717
2021-09-30,,,65120.128227761896,0.23519441146186457
2021-10-31,,,62948.40846185083,0.32019156302790314
2021-11-30,,,56570.27240110305,0.3564322266045835
2021-12-31,,,52024.841341912506,0.3232049314753586
2022-01-31,,,49685.99313585628,0.6246753855925419
2022-02-28,,,51700.31844282351,0.41082869623980645
2022-03-31,,,54503.295058038544,0.25519152416566404
2022-04-30,,,59955.19434033592,0.203697664455524
2022-05-31,,,59657.598863208,0.16493606633786376
2022-06-30,,,61352.28697368388,0.13934409081846702
2022-07-31,,,67997.67383572404,0.15233399974662518
2022-08-31,,,65447.055789925755,0.16566946178236308
2022-09-30,,,65342.53685627734,0.22184724518159887
2022-10-31,,,62298.72790902818,0.2811486448990119
2022-11-30,,,55681.13527795092,0.4214480831324797
2022-12-31,,,52163.740060065786,0.36958066684546415
2023-01-31,50827.935483871,0.4,50827.935483871,0.4
2023-02-28,52239.6071428571,0.3,52239.6071428571,0.3
2023-03-31,54897.8387096774,0.3,54897.8387096774,0.3
2023-04-30,59891.8,0.2,59891.8,0.2
2023-05-31,60231.6129032258,0.2,60231.6129032258,0.2
2023-06-30,61861.3,0.2,61861.3,0.2
2023-07-31,67510.5161290323,0.2,67510.5161290323,0.2
2023-08-31,65175.5483870968,0.2,65175.5483870968,0.2
2023-09-30,64773.5666666667,0.3,64773.5666666667,0.3
2023-10-31,59994.935483871,0.2,59994.935483871,0.2
2023-11-30,52953.2,0.4,52953.2,0.4
2023-12-31,50526.5483870968,0.5,50526.5483870968,0.5
