Date,Value
2005-06-30,33.13
2005-07-01,31.08
2005-07-02,20.43
2005-07-03,20.38
2005-07-04,30.4
2005-07-05,30.74
2005-07-07,24.56
2005-07-08,35.69
2005-07-09,27.79
2005-07-10,14.19
2005-07-11,19.4
2005-07-12,17.99
2005-07-13,33.15
2005-07-14,51.35
2005-07-15,50.81
2005-07-16,27.02
2005-07-17,33.82
2005-07-18,37.29
2005-07-19,24.1
2005-07-20,24.16
2005-07-21,29.43
2005-07-22,38.44
2005-07-23,29.34
2005-07-24,25.11
2005-07-25,33.75
2005-07-26,39.43
2005-07-27,44.52
2005-07-28,49.29
2005-07-29,36.54
2005-07-30,23.8
2005-07-31,16.66
2005-08-01,19.09
2005-08-02,33.74
2005-08-03,36.71
2005-08-04,31.81
2005-08-05,32.24
2005-08-06,21.09
2005-08-07,15.46
2005-08-08,25.67
2005-08-09,31.9
2005-08-10,40.03
2005-08-11,36.71
2005-08-12,39.96
2005-08-13,26.89
2005-08-14,13.86
2005-08-15,20.99
2005-08-16,15.7
2005-08-17,38.28
2005-08-18,40.03
2005-08-19,36.09
2005-08-20,22.29
2005-08-21,21.43
2005-08-22,52.57
2005-08-23,45.95
2005-08-24,36.77
2005-08-25,32.8
2005-08-26,34.37
2005-08-27,28.69
2005-08-28,18.57
2005-08-29,40.64
2005-08-30,41.87
2005-08-31,48.41
2005-09-01,52.21
2005-09-02,44.22
2005-09-03,35.1
2005-09-04,26.47
2005-09-05,42.78
2005-09-06,42.33
2005-09-07,44.76
2005-09-08,49.04
2005-09-09,42.67
2005-09-10,28.68
2005-09-11,21.99
2005-09-12,30.75
2005-09-13,27.84
2005-09-14,38.4
2005-09-15,43.44
2005-09-16,31.85
2005-09-17,7.45
2005-09-18,7.91
2005-09-19,20.27
2005-09-20,29.39
2005-09-21,39.54
2005-09-22,47.78
2005-09-23,55.99
2005-09-24,42.22
2005-09-25,35.53
2005-09-26,47.49
2005-09-27,48.75
2005-09-28,43.03
2005-09-29,34.75
2005-09-30,40.57
2005-10-01,25.96
2005-10-02,19.04
2005-10-03,21.38
2005-10-04,26.06
2005-10-05,31.48
2005-10-06,35.96
2005-10-07,35.13
2005-10-08,35.19
2005-10-09,32.68
2005-10-10,47.87
2005-10-11,49.88
2005-10-12,51.92
2005-10-13,51.2
2005-10-14,47.11
2005-10-15,33.21
2005-10-16,19.11
2005-10-18,27.97
2005-10-19,29.61
2005-10-20,33.29
2005-10-22,31.8
2005-10-23,22.81
2005-10-24,30.52
2005-10-25,34.87
2005-10-26,45.96
2005-10-27,52.7
2005-10-28,55.13
2005-10-29,47.65
2005-10-30,39.33
2005-10-31,51.75
2005-11-01,36.89
2005-11-02,44.24
2005-11-03,50.44
2005-11-04,41.54
2005-11-05,35.09
2005-11-06,25.85
2005-11-07,31.32
2005-11-08,38.23
2005-11-09,39.8
2005-11-10,39.46
2005-11-11,46.8
2005-11-12,38.68
2005-11-13,33.58
2005-11-14,29.6
2005-11-15,38.09
2005-11-16,44.51
2005-11-17,42.65
2005-11-18,58.86
2005-11-19,34.1
2005-11-20,46.48
2005-11-21,57.46
2005-11-22,21.65
2005-11-23,17.12
2005-11-24,29.8
2005-11-25,39.39
2005-11-26,53.96
2005-11-27,29.17
2006-12-05,47.64
2006-12-06,51.55
2006-12-07,52.56
2006-12-08,39.3
2006-12-09,40.07
2006-12-10,34.36
2006-12-11,51.56
2006-12-12,58.96
2006-12-13,67.46
2006-12-15,73.25
2006-12-16,61.32
2006-12-17,33.05
2006-12-18,26.46
2006-12-19,21.37
2006-12-20,30.14
2006-12-21,37.33
2006-12-22,32.35
2006-12-23,32.78
2006-12-24,30.45
2006-12-25,29.02
2006-12-26,28.2
2006-12-27,39.0
2006-12-28,50.1
2006-12-29,62.61
2006-12-30,49.24
2006-12-31,21.84
2007-01-01,17.97
2007-01-02,22.56
2007-01-03,38.03
2007-01-04,31.7
2007-01-05,41.23
2007-01-06,35.83
2007-01-07,21.64
2007-01-08,30.42
2007-01-09,44.19
2007-01-10,43.1
2007-01-11,29.25
2007-01-13,57.36
2007-01-14,37.82
2007-01-15,46.84
2007-01-16,55.04
2007-01-17,42.54
2007-01-18,22.01
2007-01-19,24.63
2007-01-20,25.25
2007-01-21,23.43
2007-01-22,38.06
2007-01-24,39.09
2007-01-25,27.9
2007-01-26,40.85
2007-01-27,59.96
2007-01-28,56.81
2007-01-29,49.42
2007-01-30,69.51
2007-01-31,61.78
2007-02-01,38.72
2007-02-02,51.14
2007-02-03,33.22
2007-02-04,35.91
2007-02-05,52.8
2007-02-06,49.29
2007-02-07,44.27
2007-02-08,37.93
2007-02-09,70.5
2007-02-10,42.46
2007-02-11,21.03
2007-02-12,26.61
2007-02-13,35.39
2007-02-14,58.81
2007-02-15,45.04
2007-02-16,72.37
2007-02-17,63.84
2007-02-18,42.33
2007-02-19,49.7
2007-02-20,58.14
2007-02-21,60.58
2007-02-22,66.87
2007-02-23,64.08
2007-02-24,33.38
2007-02-25,14.82
2007-02-26,31.92
2007-02-27,38.12
2007-02-28,26.22
2007-03-01,23.45
2007-03-02,37.83
2007-03-03,24.16
2007-03-04,40.47
2007-03-05,52.62
2007-03-06,53.41
2007-03-07,40.02
2007-03-08,51.93
2007-03-09,53.12
2007-03-10,20.31
2007-03-11,23.0
2007-03-12,58.68
2007-03-13,70.44
2007-03-14,60.45
2007-03-15,69.05
2007-03-16,74.15
2007-03-17,50.44
2007-03-18,20.16
2007-03-19,38.05
2007-03-20,43.2
2007-03-21,44.88
2007-03-22,48.54
2007-03-23,47.3
2007-03-24,32.03
2007-03-25,33.02
2007-03-26,54.85
2007-03-27,55.93
2007-03-28,62.39
2007-03-29,64.2
2007-03-30,49.13
2007-03-31,49.77
2007-04-01,45.05
2007-04-02,56.88
2007-04-03,50.03
2007-04-04,22.55
2007-04-05,34.52
2007-04-06,46.71
2007-04-07,40.23
2007-04-08,24.33
2007-04-09,36.5
2007-04-10,47.96
2007-04-11,54.97
2007-04-12,58.13
2007-04-13,64.45
2007-04-14,45.05
2007-04-15,35.89
2007-04-16,50.42
2007-04-17,53.38
2007-04-18,42.1
2007-04-19,46.21
2007-04-20,49.03
2007-04-21,48.76
2007-04-22,33.42
2007-04-23,55.09
2007-04-24,53.43
2007-04-25,59.89
2007-04-26,48.83
2007-04-27,52.31
2007-04-28,38.63
2007-04-29,30.9
2007-04-30,39.85
2007-05-01,35.55
2007-05-02,44.52
2007-05-03,44.19
2007-05-04,43.91
2007-05-05,36.61
2007-05-06,27.73
2007-05-07,33.83
2007-05-08,20.01
2007-05-09,21.54
2007-05-10,38.3
2007-05-12,25.72
2007-05-13,28.67
2007-05-14,49.43
2007-05-15,27.53
2007-05-16,33.81
2007-05-17,14.23
2007-05-18,31.98
2007-05-19,34.22
2007-05-20,29.07
2007-05-21,35.55
2007-05-22,38.45
2007-05-23,40.89
2007-05-24,40.56
2007-05-25,42.96
2007-05-26,36.59
2007-05-27,12.69
2007-05-28,19.43
2007-05-29,28.4
2007-05-30,41.44
2007-05-31,37.33
2007-06-01,37.75
2007-06-02,19.06
2007-06-03,20.0
2007-06-04,28.11
2007-06-05,29.44
2007-06-06,34.09
2007-06-07,25.68
2007-06-08,39.35
2007-06-09,28.58
2007-06-10,27.04
2007-06-11,37.26
2007-06-12,37.81
2007-06-13,34.87
2007-06-14,40.63
2007-06-15,43.56
2007-06-16,20.77
2007-06-17,17.58
2007-06-18,28.99
2007-06-19,34.14
2007-06-20,37.78
2007-06-21,37.81
2007-06-22,31.35
2007-06-23,21.81
2007-06-24,21.16
2007-06-25,44.92
2007-06-26,20.97
2007-06-27,31.22
2007-06-28,35.33
2007-06-29,33.18
2007-06-30,28.25
2007-07-01,23.17
2007-07-02,29.79
2007-07-03,29.74
2007-07-04,23.08
2007-07-05,29.18
2007-07-06,24.98
2007-07-07,26.57
2007-07-08,20.13
2007-07-09,35.67
2007-07-10,23.26
2007-07-11,31.99
2007-07-12,33.88
2007-07-13,50.72
2007-07-14,41.48
2007-07-15,27.26
2007-07-16,48.6
2007-07-17,55.09
2007-07-18,37.16
2007-07-20,32.82
2007-07-21,21.82
2007-07-22,22.61
2007-07-23,31.32
2007-07-24,22.37
2007-07-25,39.36
2007-07-26,37.03
2007-07-27,32.69
2007-07-28,21.31
2007-07-29,12.76
2007-07-30,21.17
2007-07-31,25.58
2007-08-01,31.3
2007-08-02,41.13
2007-08-03,32.06
2007-08-04,30.03
2007-08-05,30.12
2007-08-06,33.18
2007-08-07,30.31
2007-08-08,31.94
2007-08-09,28.3
2007-08-10,30.23
2007-08-11,19.88
2007-08-12,27.55
2007-08-13,41.81
2007-08-14,33.87
2007-08-15,29.14
2007-08-16,28.81
2007-08-17,30.91
2007-08-18,33.94
2007-08-19,22.03
2007-08-20,28.26
2007-08-21,25.58
2007-08-22,29.04
2007-08-23,37.63
2007-08-24,53.15
2007-08-25,42.89
2007-08-26,38.87
2007-08-27,52.0
2007-08-28,40.73
2007-08-29,34.72
2007-08-30,24.95
2007-08-31,38.66
2007-09-01,31.53
2007-09-02,30.75
2007-09-03,34.62
2007-09-04,26.43
2007-09-05,27.46
2007-09-06,26.38
2007-09-07,21.16
2007-09-08,19.57
2007-09-09,23.15
2007-09-10,35.98
2007-09-11,29.8
2007-09-12,38.3
2007-09-13,46.96
2007-09-14,62.98
2007-09-15,43.58
2007-09-16,34.06
2007-09-17,49.45
2007-09-18,38.3
2007-09-19,36.3
2007-09-20,48.69
2007-09-21,52.6
2007-09-22,47.24
2007-09-23,41.26
2007-09-27,32.23
2007-09-28,27.44
2007-09-29,32.36
2007-09-30,30.81
2007-10-01,41.07
2007-10-02,46.52
2007-10-03,49.51
2007-10-04,36.96
2007-10-05,26.42
2007-10-06,22.08
2007-10-07,32.86
2007-10-08,50.83
2007-10-09,52.06
2007-10-10,39.44
2007-10-11,41.23
2007-10-12,42.66
2007-10-13,33.68
2007-10-14,36.06
2007-10-15,45.82
2007-10-16,57.68
2007-10-17,47.96
2007-10-18,40.08
2007-10-19,38.1
2007-10-20,17.32
2007-10-21,17.21
2007-10-22,21.61
2007-10-23,23.35
2007-10-24,28.42
2007-10-25,32.41
2007-10-26,36.55
2007-10-27,39.6
2007-10-28,38.91
2007-10-29,60.28
2007-10-30,44.67
2007-10-31,25.6
2007-11-01,28.46
2007-11-02,37.32
2007-11-03,38.78
2007-11-04,23.66
2007-11-05,44.02
2007-11-06,56.18
2007-11-07,52.9
2007-11-08,47.17
2007-11-09,31.58
2007-11-10,20.4
2007-11-11,13.27
2007-11-12,55.07
2007-11-13,46.81
2007-11-14,36.87
2007-11-15,22.8
2007-11-16,22.39
2007-11-17,30.74
2007-11-18,54.51
2007-11-19,74.59
2007-11-20,68.62
2007-11-21,66.81
2007-11-22,51.42
2007-11-23,63.62
2007-11-24,32.74
2007-11-25,31.95
2007-11-26,60.96
2007-11-27,49.68
2007-11-28,66.5
2007-11-29,61.48
2007-11-30,72.48
2007-12-01,43.04
2007-12-02,14.33
2007-12-03,30.87
2007-12-04,47.37
2007-12-05,65.44
2007-12-06,35.89
2007-12-07,30.77
2007-12-08,26.36
2007-12-09,18.26
2007-12-10,29.21
2007-12-11,45.41
2007-12-12,34.37
2007-12-13,22.2
2007-12-14,27.61
2007-12-15,18.76
2007-12-16,16.45
2007-12-17,31.37
2007-12-18,40.4
2007-12-19,54.39
2007-12-20,56.6
2007-12-21,52.65
2007-12-22,52.47
2007-12-23,41.06
2007-12-24,47.54
2007-12-25,37.33
2007-12-26,49.11
2007-12-27,45.63
2007-12-28,47.25
2007-12-29,56.45
2007-12-30,43.89
2007-12-31,53.7
2008-01-01,34.55
2008-01-02,24.82
2008-01-03,53.29
2008-01-04,65.95
2008-01-05,51.22
2008-01-06,25.48
2008-01-07,41.96
2008-01-08,69.25
2008-01-09,59.88
2008-01-10,76.92
2008-01-11,75.43
2008-01-12,52.77
2008-01-13,45.36
2008-01-18,40.05
2008-01-19,35.74
2008-01-20,40.39
2008-01-21,55.61
2008-01-22,34.32
2008-01-23,55.5
2008-01-24,73.86
2008-01-25,42.74
2008-01-26,43.57
2008-01-27,65.28
2008-01-28,75.3
2008-01-29,82.71
2008-01-30,58.43
2008-01-31,45.06
2008-02-01,30.99
2008-02-02,50.42
2008-02-03,44.58
2008-02-04,54.1
2008-02-05,52.73
2008-02-06,32.6
2008-02-07,52.02
2008-02-08,71.6
2008-02-09,63.99
2008-02-10,48.58
2008-02-11,67.29
2008-02-12,77.87
2008-02-13,80.13
2008-02-14,80.14
2008-02-15,56.99
2008-02-16,30.45
2008-02-17,47.15
2008-02-18,77.08
2008-02-19,85.1
2008-02-20,75.12
2008-02-21,68.97
2008-02-22,64.78
2008-02-23,62.96
2008-02-24,52.27
2008-02-25,55.62
2008-02-26,46.0
2008-02-27,52.18
2008-02-28,59.69
2008-02-29,37.66
2008-03-01,21.0
2008-03-02,20.57
2008-03-03,36.39
2008-03-04,43.9
2008-03-05,17.94
2008-03-06,21.06
2008-03-07,47.81
2008-03-08,55.28
2008-03-09,35.1
2008-03-10,33.0
2008-03-11,27.85
2008-03-12,20.15
2008-03-13,46.15
2008-03-14,44.34
2008-03-15,49.28
2008-03-16,14.73
2008-03-17,33.3
2008-03-18,28.85
2008-03-19,58.72
2008-03-20,54.15
2008-03-21,16.7
2008-03-22,33.71
2008-03-23,21.48
2008-03-24,23.18
2008-03-25,29.42
2008-03-26,44.04
2008-03-27,45.13
2008-03-28,41.97
2008-03-29,40.39
2008-03-30,37.33
2008-03-31,48.41
2008-04-01,47.88
2008-04-02,38.05
2008-04-03,44.42
2008-04-04,40.17
2008-04-05,36.36
2008-04-06,24.0
2008-04-07,30.93
2008-04-08,60.43
2008-04-09,50.61
2008-04-10,51.65
2008-04-11,42.16
2008-04-12,42.95
2008-04-13,25.11
2008-04-14,33.39
2008-04-15,42.02
2008-04-17,40.64
2008-04-18,63.61
2008-04-19,33.61
2008-04-20,39.18
2008-04-21,40.2
2008-04-22,29.77
2008-04-23,44.39
2008-04-24,41.43
2008-04-25,46.45
2008-04-26,38.79
2008-04-27,30.18
2008-04-28,46.78
2008-04-29,43.67
2008-04-30,51.44
2008-05-01,31.01
2008-05-02,50.83
2008-05-03,40.47
2008-05-04,34.24
2008-05-05,27.85
2008-05-06,47.15
2008-05-07,56.67
2008-05-08,56.98
2008-05-09,56.65
2008-05-10,41.19
2008-05-11,32.37
2008-05-12,24.58
2008-05-13,53.01
2008-05-14,51.24
2008-05-15,42.31
2008-05-16,35.92
2008-05-17,39.41
2008-05-18,17.21
2008-05-19,18.34
2008-05-20,16.21
2008-05-21,23.17
2008-05-22,33.25
2008-05-23,37.55
2008-05-24,35.03
2008-05-25,27.3
2008-05-26,35.35
2008-05-27,42.84
2008-05-28,42.75
2008-05-29,39.76
2008-05-30,35.98
2008-05-31,28.83
2008-06-01,24.74
2008-06-02,41.42
2008-06-03,40.02
2008-06-04,39.28
2008-06-05,38.78
2008-06-06,35.63
2008-06-07,25.86
2008-06-08,10.86
2008-06-09,30.45
2008-06-10,37.1
2008-06-11,34.59
2008-06-12,31.18
2008-06-13,31.63
2008-06-14,32.21
2008-06-15,26.11
2008-06-16,38.05
2008-06-17,38.53
2008-06-18,37.49
2008-06-19,41.53
2008-06-20,46.0
2008-06-21,30.5
2008-06-23,49.1
2008-06-24,52.63
2008-06-25,42.82
2008-06-26,29.78
2008-06-27,44.17
2008-06-28,33.98
2008-06-29,22.86
2008-06-30,27.94
2008-07-01,38.91
2008-07-03,37.75
2008-07-04,35.67
2008-07-05,34.68
2008-07-06,24.22
2008-07-07,28.18
2008-07-08,28.86
2008-07-09,38.43
2008-07-10,43.35
2008-07-11,38.65
2008-07-12,25.96
2008-07-13,19.32
2008-07-14,35.71
2008-07-15,38.53
2008-07-16,42.36
2008-07-17,37.63
2008-07-18,38.68
2008-07-19,25.77
2008-07-20,24.32
2008-07-21,35.22
2008-07-22,29.15
2008-07-23,23.67
2008-07-24,42.26
2008-07-25,54.91
2008-07-26,35.23
2008-07-27,24.96
2008-07-28,35.97
2008-07-29,40.74
2008-07-30,31.49
2008-07-31,37.08
2008-08-01,21.46
2008-08-02,23.56
2008-08-03,19.66
2008-08-04,25.28
2008-08-05,30.06
2008-08-06,36.19
2008-08-07,34.88
2008-08-08,22.86
2008-08-09,23.65
2008-08-10,24.98
2008-08-11,37.3
2008-08-12,32.86
2008-08-13,29.81
2008-08-14,37.14
2008-08-15,26.57
2008-08-16,24.92
2008-08-17,32.25
2008-08-18,32.45
2008-08-19,38.09
2008-08-20,40.77
2008-08-21,39.51
2008-08-22,32.33
2008-08-23,26.35
2008-08-24,27.94
2008-08-25,37.45
2008-08-26,32.83
2008-08-27,43.37
2008-08-28,46.6
2008-08-29,44.22
2008-08-30,41.6
2008-08-31,37.38
2008-09-01,46.59
2008-09-02,40.15
2008-09-03,35.66
2008-09-04,44.54
2008-09-05,43.82
2008-09-06,34.77
2008-09-07,27.99
2008-09-08,35.73
2008-09-09,47.74
2008-09-10,47.75
2008-09-11,43.93
2008-09-12,36.77
2008-09-13,22.64
2008-09-14,10.53
2008-09-15,18.19
2008-09-16,21.94
2008-09-17,34.37
2008-09-18,33.69
2008-09-19,43.6
2008-09-20,18.52
2008-09-21,19.17
2008-09-22,29.67
2008-09-23,32.21
2008-09-24,40.67
2008-09-25,25.89
2008-09-26,23.92
2008-09-27,42.21
2008-09-28,37.0
2008-09-29,52.62
2008-09-30,43.67
2008-10-01,26.95
2008-10-02,32.26
2008-10-03,31.39
2008-10-04,28.83
2008-10-05,24.6
2008-10-06,35.29
2008-10-07,35.57
2008-10-08,44.92
2008-10-09,41.49
2008-10-10,45.95
2008-10-11,38.84
2008-10-12,34.92
2008-10-13,53.56
2008-10-14,52.12
2008-10-15,43.3
2008-10-16,33.16
2008-10-17,35.41
2008-10-18,39.81
2008-10-19,41.05
2008-10-20,43.89
2008-10-21,51.18
2008-10-22,33.92
2008-10-23,25.81
2008-10-24,35.13
2008-10-25,32.04
2008-10-26,32.65
2008-10-27,42.62
2008-10-28,42.62
2008-10-29,37.38
2008-10-30,52.68
2008-10-31,44.97
2008-11-01,34.41
2008-11-02,33.0
2008-11-03,46.9
2008-11-04,45.29
2008-11-05,44.06
2008-11-07,53.86
2008-11-08,46.61
2008-11-09,33.97
2008-11-10,41.76
2008-11-11,50.17
2008-11-12,44.5
2008-11-13,30.02
2008-11-14,32.99
2008-11-15,38.56
2008-11-16,30.12
2008-11-17,32.34
2008-11-18,48.56
2008-11-19,43.08
2008-11-20,35.27
2008-11-21,24.22
2008-11-22,23.45
2008-11-23,19.15
2008-11-24,50.94
2008-11-25,38.54
2008-11-26,50.9
2008-11-27,69.36
2008-11-28,67.4
2008-11-29,57.61
2008-11-30,50.97
2008-12-01,52.89
2008-12-02,46.22
2008-12-03,46.69
2008-12-04,46.94
2008-12-05,29.23
2008-12-06,25.97
2008-12-07,28.66
2008-12-08,50.0
2008-12-09,55.6
2008-12-10,46.08
2008-12-11,50.88
2008-12-12,44.54
2008-12-13,57.28
2008-12-14,53.87
2008-12-15,94.59
2008-12-16,58.02
2008-12-17,57.56
2008-12-18,58.24
2008-12-19,75.04
2008-12-20,62.06
2008-12-21,56.52
2008-12-22,69.88
2008-12-23,56.66
2008-12-24,34.66
2008-12-25,18.79
2008-12-26,20.17
2008-12-27,25.61
2008-12-28,32.03
2008-12-29,59.63
2008-12-30,58.27
2008-12-31,62.87
2009-01-01,47.33
2009-01-02,27.34
2009-01-03,25.99
2009-01-04,34.92
2009-01-05,43.66
2009-01-06,39.02
2009-01-07,31.25
2009-01-08,41.14
2009-01-09,50.97
2009-01-10,63.31
2009-01-11,75.15
2009-01-12,89.9
2009-01-13,124.43
2009-01-14,100.95
2009-01-15,57.46
2009-01-16,74.07
2009-01-17,89.17
2009-01-18,36.74
2009-01-19,53.72
2009-01-20,62.72
2009-01-21,70.12
2009-01-22,61.11
2009-01-26,82.91
2009-01-27,56.96
2009-01-28,50.46
2009-01-29,38.33
2009-01-30,39.63
2009-01-31,33.23
2009-02-01,27.51
2009-02-02,55.95
2009-02-03,89.83
2009-02-04,85.35
2009-02-05,78.07
2009-02-06,68.62
2009-02-07,49.56
2009-02-08,42.52
2009-02-09,53.3
2009-02-10,24.9
2009-02-11,55.45
2009-02-12,47.29
2009-02-13,56.7
2009-02-14,45.56
2009-02-15,37.86
2009-02-16,65.35
2009-02-17,44.26
2009-02-18,33.75
2009-02-19,54.95
2009-02-20,79.53
2009-02-21,61.39
2009-02-22,55.33
2009-02-23,54.11
2009-02-24,36.24
2009-02-25,60.27
2009-02-26,78.93
2009-02-27,65.73
2009-02-28,69.02
2009-03-02,64.69
2009-03-03,46.42
2009-03-04,50.66
2009-03-05,59.29
2009-03-06,47.16
2009-03-07,54.76
2009-03-08,30.93
2009-03-09,37.26
2009-03-10,40.28
2009-03-11,54.31
2009-03-12,69.55
2009-03-13,54.81
2009-03-14,50.74
2009-03-15,30.24
2009-03-16,34.94
2009-03-17,47.3
2009-03-18,30.83
2009-03-19,43.54
2009-03-20,19.03
2009-03-21,22.56
2009-03-22,47.24
2009-03-23,47.97
2009-03-24,35.71
2009-03-25,35.72
2009-03-26,34.53
2009-03-27,39.78
2009-03-28,37.84
2009-03-29,14.42
2009-03-30,21.67
2009-03-31,39.11
2009-04-01,27.65
2009-04-02,38.67
2009-04-03,52.95
2009-04-04,46.41
2009-04-05,36.76
2009-04-06,39.36
2009-04-07,47.82
2009-04-08,57.29
2009-04-09,65.6
2009-04-10,43.95
2009-04-11,46.38
2009-04-12,38.35
2009-04-13,35.58
2009-04-14,54.31
2009-04-15,57.05
2009-04-16,47.01
2009-04-17,45.65
2009-04-18,28.92
2009-04-19,26.51
2009-04-20,44.99
2009-04-21,38.93
2009-04-22,44.84
2009-04-23,38.29
2009-04-24,32.83
2009-04-25,43.87
2009-04-26,34.57
2009-04-27,44.54
2009-04-28,39.78
2009-05-06,40.39
2009-05-07,46.38
2009-05-08,36.23
2009-05-09,35.47
2009-05-10,28.81
2009-05-11,43.52
2009-05-12,41.25
2009-05-13,39.56
2009-05-14,33.68
2009-05-16,30.79
2009-05-17,23.04
2009-05-18,31.23
2009-05-19,41.99
2009-05-20,57.14
2009-05-21,23.36
2009-05-22,41.66
2009-05-23,37.13
2009-05-24,29.3
2009-05-25,38.44
2009-05-26,38.76
2009-05-27,30.14
2009-05-28,24.83
2009-05-29,15.85
2009-05-30,18.44
2009-05-31,19.26
2009-06-01,12.19
2009-06-02,32.21
2009-06-03,44.98
2009-06-04,44.95
2009-06-05,41.82
2009-06-06,17.71
2009-06-07,13.25
2009-06-08,37.47
2009-06-09,27.53
2009-06-10,35.57
2009-06-11,16.68
2009-06-12,41.27
2009-06-13,33.24
2009-06-14,21.9
2009-06-15,29.12
2009-06-16,27.23
2009-06-17,35.04
2009-06-18,41.82
2009-06-19,43.64
2009-06-20,20.86
2009-06-21,16.32
2009-06-22,17.76
2009-06-23,13.18
2009-06-24,12.21
2009-06-25,35.89
2009-06-26,40.58
2009-06-27,23.55
2009-06-28,26.1
2009-06-29,32.81
2009-06-30,40.49
2009-07-01,41.65
2009-07-02,46.09
2009-07-03,39.85
2009-07-04,31.38
2009-07-05,19.85
2009-07-06,31.05
2009-07-07,28.37
2009-07-08,29.83
2009-07-09,35.57
2009-07-10,38.39
2009-07-11,34.93
2009-07-12,31.22
2009-07-13,41.49
2009-07-14,37.89
2009-07-15,34.49
